Assembly,original,corrected,RefSeq.Accession.version,GenBank.Accession.version,NCBI.name
Fundulus_heteroclitus-3.0.2,Scaffold198,Scaffold198,NW_012224599.1,KN805723.1,GPS_009135921.1
Fundulus_heteroclitus-3.0.2,Scaffold199,Scaffold199,NW_012224600.1,KN805724.1,GPS_009135922.1
Fundulus_heteroclitus-3.0.2,Scaffold200,Scaffold200,NW_012224601.1,KN805725.1,GPS_009135923.1
Fundulus_heteroclitus-3.0.2,Scaffold201,Scaffold201,NW_012224602.1,KN805726.1,GPS_009135924.1
Fundulus_heteroclitus-3.0.2,Scaffold202,Scaffold202,NW_012224603.1,KN805727.1,GPS_009135925.1
Fundulus_heteroclitus-3.0.2,Scaffold203,Scaffold203,NW_012224604.1,KN805728.1,GPS_009135926.1
Fundulus_heteroclitus-3.0.2,Scaffold204,Scaffold204,NW_012224605.1,KN805729.1,GPS_009135927.1
Fundulus_heteroclitus-3.0.2,Scaffold205,Scaffold205,NW_012224606.1,KN805730.1,GPS_009135928.1
Fundulus_heteroclitus-3.0.2,Scaffold206,Scaffold206,NW_012224607.1,KN805731.1,GPS_009135929.1
Fundulus_heteroclitus-3.0.2,Scaffold207,Scaffold207,NW_012224608.1,KN805732.1,GPS_009135930.1
Fundulus_heteroclitus-3.0.2,Scaffold208,Scaffold208,NW_012224609.1,KN805733.1,GPS_009135931.1
Fundulus_heteroclitus-3.0.2,Scaffold209,Scaffold209,NW_012224610.1,KN805734.1,GPS_009135932.1
Fundulus_heteroclitus-3.0.2,Scaffold210,Scaffold210,NW_012224611.1,KN805735.1,GPS_009135933.1
Fundulus_heteroclitus-3.0.2,Scaffold211,Scaffold211,NW_012224612.1,KN805736.1,GPS_009135934.1
Fundulus_heteroclitus-3.0.2,Scaffold212,Scaffold212,NW_012224613.1,KN805737.1,GPS_009135935.1
Fundulus_heteroclitus-3.0.2,Scaffold213,Scaffold213,NW_012224614.1,KN805738.1,GPS_009135936.1
Fundulus_heteroclitus-3.0.2,Scaffold214,Scaffold214,NW_012224615.1,KN805739.1,GPS_009135937.1
Fundulus_heteroclitus-3.0.2,Scaffold215,Scaffold215,NW_012224616.1,KN805740.1,GPS_009135938.1
Fundulus_heteroclitus-3.0.2,Scaffold216,Scaffold216,NW_012224617.1,KN805741.1,GPS_009135939.1
Fundulus_heteroclitus-3.0.2,Scaffold217,Scaffold217,NW_012224618.1,KN805742.1,GPS_009135940.1
Fundulus_heteroclitus-3.0.2,Scaffold218,Scaffold218,NW_012224619.1,KN805743.1,GPS_009135941.1
Fundulus_heteroclitus-3.0.2,Scaffold219,Scaffold219,NW_012224620.1,KN805744.1,GPS_009135942.1
